"platformID","platform","entity","entityID","webLabel","heatmapLabel","tier1and2entity","tier1and2entityID","website","easeDiscover","methodDiscover","easeAccess","methodAccess","LinktoSource","fileFormat","metadata","metadataFormat","dataDefinitions","metaAttributes","metadataStandards","timeliness","lengthAvailable","group","count"
"p10","Hydroelectric Projects  Query","Streams, Lakes and Dams Program","n04","OWRD","OWRD: Hydroelectric Projects  Query","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/sw/hydro_electric_query/","High","Catalog","Yes","Copy and Paste","Not Applicable","html","No","No","No","No","No","Unknown","Current only","hub",5
"p11","Watermaster District 17 - Klamath Basin Status","Department of Water Resources","n02","OWRD","OWRD: Watermaster District 17 - Klamath Basin Status","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/misc/dsb_area_status/Default.aspx?wm_district=17","Medium","Website","Yes","Copy and Paste; Link to Source","Not Applicable","html","No","No","No","No","No","Yearly or Higher","Limited Record","hub",5
"p12","Klamath Tribal Instream Claim Dashboard","Department of Water Resources","n02","OWRD","OWRD: Klamath Tribal Instream Claim Dashboard","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/wr/klamath_sif_dashboard/Default.aspx","Medium","Catalog","Yes","Individual Export; Link to Source","Direct","excel; txt; html","some","in data","No","Descriptive","No","Daily or Higher","Period of Record","hub",5
"p13","Miscellaneous Streamflow Measurements","Streams, Lakes and Dams Program","n04","OWRD","OWRD: Miscellaneous Streamflow Measurements","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/sw/misc_measurements_view_only/","Medium","Catalog","Yes","Batch Export","Not Applicable","txt","No","No","No","No","No","Unknown","Unknown","hub",5
"p14","Near Real Time Hydrographics Data","Streams, Lakes and Dams Program","n04","OWRD","OWRD: Near Real Time Hydrographics Data","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/sw/hydro_near_real_time/","High","Catalog","Yes","Link to Source; Individual Export","Direct","excel; html; csv","No","html","No","Descriptive; Administrative","Yes","Daily or Higher","Limited Record","hub",5
"p15","Water Availability Reporting System","Water Rights Program","n03","OWRD","OWRD: Water Availability Reporting System","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/wars/wars_display_wa_tables/MainMenu1.aspx","Medium","Catalog","Yes","Batch Export; Full Export","Not Applicable","csv; excel; txt","yes","in data","No","Descriptive; Administrative","No","Daily or Higher","Current Only","hub",5
"p16","Water Right Information Search (WRIS)","Water Rights Program","n03","OWRD","OWRD: Water Right Information Search (WRIS)","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/wr/wrinfo/","High","Catalog","Yes","Individual Export; Copy and Paste","Not Applicable","pdf; html","some","in data","Yes","No","No","Unknown","Period of Record","hub",5
"p17","Water Right Place of Use Summary Report","Water Rights Program","n03","OWRD","OWRD: Water Right Place of Use Summary Report","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/wr/wrinfo/wr_summary_pou.aspx","High","Catalog","Yes","Batch Export","Not Applicable","excel; txt","No","No","Yes","No","No","Unknown","Period of Record","hub",5
"p18","Water Right Point of Diversion Summary Report","Water Rights Program","n03","OWRD","OWRD: Water Right Point of Diversion Summary Report","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/wr/wrinfo/wr_summary_pod.aspx","High","Catalog","Yes","Batch Export","Not Applicable","excel; txt","No","No","Yes","No","No","Unknown","Period of Record","hub",5
"p19","Water Rights Platcard Report","Water Rights Program","n03","OWRD","OWRD: Water Rights Platcard Report","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/wr/wrinfo/wr_platcard.aspx","High","Catalog","Yes","Copy and Paste","Not Applicable","html","No","No","Yes","No","No","Unknown","Period of Record","hub",5
"p20","Water Use Report","Water Rights Program","n03","OWRD","OWRD: Water Use Report","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/wr/wateruse_query/","High","Catalog","Yes","Batch Export","Not Applicable","excel; txt","No","No","Yes","No","No","Yearly or Higher","Period of Record","hub",5
"p21","Publication and Reports","Department of Water Resources","n02","OWRD","OWRD: Publication and Reports","Department of Water Resources",2,"https://www.oregon.gov/owrd/publicationsandreports/Pages/default.aspx","High","Catalog","Yes","Individual Export","Not Applicable","pdf","Some","in data","Unknown","Descriptive; Administrative","No","Yearly or Higher","Period of Record","hub",5
"p22","Groundwater Information System Mapping Tool","Groundwater and Wells Program","n05","OWRD","OWRD: Groundwater Information System Mapping Tool","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/gw/gw_info/gw_map/Default.aspx","High","Map","Yes","Batch Export","Not Applicable","shapefile; txt; excel; geodatabase","yes","html; in data","No","Descriptive; Administrative; Structural","No","Unknown","Period of Record","hub",5
"p23","Oregon Water & Monitoring Well Standard Repository","Groundwater and Wells Program","n05","OWRD","OWRD: Oregon Water & Monitoring Well Standard Repository","Department of Water Resources",2,"https://apps.wrd.state.or.us/apps/gw/owmwds_well_query/","Low","Catalog","Yes","Batch Export","Not Applicable","txt","yes","pdf","Yes","Descriptive; Administrative","Yes","Unknown","Period of Record","hub",5
"p24","Drought Conditions","Climate Program","n06","OWRD","OWRD: Drought Conditions","Department of Water Resources",2,"https://www.oregon.gov/owrd/programs/climate/droughtwatch/Pages/Current-Conditions.aspx","Medium","Website","Yes","Link to Source","Direct","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Monthly or Higher","Limited Record","hub",5
"p25","AWQMS","Water Quality Program","n13","DEQ","DEQ: AWQMS","Department of Environmental Quality",4,"https://orwater.deq.state.or.us/Login.aspx","High","Unknown","Registration Required","Unknown","Not Applicable","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","hub",5
"p26","Drinking Water Protection Interactive Viewer","Department of Environmental Quality","n12","DEQ","DEQ: Drinking Water Protection Interactive Viewer","Department of Environmental Quality",4,"https://hdcgcx2.deq.state.or.us/HVR291/index.html?viewer=drinkingwater","High","Map","Yes","Batch Export","Not Applicable","csv; excel; shapefile","No","No","No","No","No","Unknown","Unknown","hub",5
"p27","Facility Profiler-Lite","Department of Environmental Quality","n13","DEQ","DEQ: Facility Profiler-Lite","Department of Environmental Quality",4,"https://hdcgcx1.deq.state.or.us/Html5viewer291/?viewer=FacilityProfilerLite","Low","Map","Yes","Copy and Paste","Not Applicable","pdf; png; tiff","yes","in data","Yes","Administrative","No","Daily or Higher","Current Only","hub",5
"p28","La Pine Demonstration Project","Water Quality Program","n13","DEQ","DEQ: La Pine Demonstration Project","Department of Environmental Quality",4,"https://www.deq.state.or.us/wq/groundwater/lapine/siterptcriteria.asp","High","Catalog","Yes","Individual Export","Not Applicable","csv; html","No","No","No","No","No","Daily or Higher","Period of Record","hub",5
"p29","Stream Location Identification Tool","Water Quality Program","n13","DEQ","DEQ: Stream Location Identification Tool","Department of Environmental Quality",4,"https://hdcgcx2.deq.state.or.us/HVR291/?viewer=wqslit","High","Map","Yes","None","Not Applicable","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Current only","hub",5
"p31","Source Water Protection","Water Quality Program","n13","DEQ","DEQ: Source Water Protection","Department of Environmental Quality",4,"https://www.oregon.gov/deq/wq/programs/Pages/DWP-Maps.aspx","Medium","Website","Yes","Full Export","Not Applicable","zip; pdf; shapefile","Yes","txt","No","Descriptive","Yes","Yearly or Higher","Current Only","hub",5
"p33","Wastewater Permits Reports Database","Water Quality Program","n13","DEQ","DEQ: Wastewater Permits Reports Database","Department of Environmental Quality",4,"https://www.deq.state.or.us/wq/sisdata/sisdata.asp","High","Catalog","Yes","Batch Export; Individual Export; Copy and Paste","Not Applicable","csv; html","Yes","in data","No","Administrative; Descriptive; Structural","No","Daily or Higher","Period of Record","hub",5
"p34","Toxics Monitoring Network Map","Department of Environmental Quality","n12","DEQ","DEQ: Toxics Monitoring Network Map","Department of Environmental Quality",4,"https://hdcgcx2.deq.state.or.us/Html5Viewer211/?viewer=toxmonnet","Low","Map","Yes","None","Not Applicable","csv; excel; shapefile","No","No","No","No","No","Unknown","Period of Record","hub",5
"p35","Geographic Information Systems","Department of Environmental Quality","n12","DEQ","DEQ: Geographic Information Systems","Department of Environmental Quality",4,"https://www.oregon.gov/deq/Data-and-Reports/Pages/GIS.aspx","High","Website","Yes","Full Export; Individual Export","Not Applicable","zip; shapefile; geodatabase; pdf","yes","html","No","Administrative","No","Varies","Period of Record","hub",5
"p36","Mapping and GIS Data","Water Quality Program","n13","DEQ","DEQ: Mapping and GIS Data","Department of Environmental Quality",4,"https://www.oregon.gov/deq/wq/programs/Pages/DWP-Maps.aspx","Medium","Website","Yes","Individual Export","Not Applicable","excel; pdf","some","in data; pdf","No","Administrative","No","Unknown","Current Only","hub",5
"p37","2018/2020 Integrated Report Database","Water Quality Program","n13","DEQ","DEQ: 2018/2020 Integrated Report Database","Department of Environmental Quality",4,"https://www.oregon.gov/deq/wq/Pages/2018-Integrated-Report.aspx","Medium","Catalog","Yes","Batch Export","Not Applicable","zip; excel; geodatabase","yes","html; pdf; excel","Yes","Descriptive; Administrative","Yes","Varies","Period of Record","hub",5
"p38","Data Clearning House","Department of Fish and Wildlife","n15","ODFW","ODFW: Data Clearning House","Department of Fish and Wildlife",5,"https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?ReturnUrl=%2fDataClearinghouse%2f","Low","Catalog","Yes","Full Export; Link to Source","Direct","excel; zip; shapefile; csv; txt","some","html","No","Descriptive","No","Varies","Limited Record","hub",5
"p39","2012 Integrated Report Assessment Database ","Water Quality Program","n13","DEQ","DEQ: 2012 Integrated Report Assessment Database ","Department of Environmental Quality",4,"https://www.deq.state.or.us/wq/assessment/rpt2012/search.asp","Medium","Catalog","Yes","Batch Export","Not Applicable","excel; pdf","Yes","pdf","Yes","Descriptive; Administrative","Yes","Varies","Period of Record","hub",5
"p40","Past Integrated Reports","Water Quality Program","n13","DEQ","DEQ: Past Integrated Reports","Department of Environmental Quality",4,"https://www.oregon.gov/deq/wq/Pages/pastir.aspx","Medium","Website; Catalog","Yes","Individual Export; Copy and Paste","Not Applicable","geodatabase; pdf; html; excel","some","html; in data","Yes","Descriptive; Administrative","No","Varies","Period of Record","hub",5
"p41","Oregon Fish Habitat Distribution and Barriers","Fish Division","n15","ODFW","ODFW: Oregon Fish Habitat Distribution and Barriers","Department of Fish and Wildlife",5,"https://nrimp.dfw.state.or.us/FHD_FPB_Viewer/index.html","Low","Map","Yes","Batch Export","Not Applicable","geodatabase","yes","html; xml","No","Administrative","Yes","Unknown","Current Only","hub",5
"p42","Compass","Fish Division","n15","ODFW","ODFW: Compass","Department of Fish and Wildlife",5,"https://dfw.state.or.us/maps/compass/","Low","Map","Yes","Full Export","Not Applicable","zip; shapefile; geodatabase","yes","pdf; xml","No","Administrative; Descriptive","No","Unknown","Limited Record","hub",5
"p43","Maps & Data","Department of Forestry","n29","ODF","ODF: Maps & Data","Department of Forestry",13,"https://www.oregon.gov/odf/AboutODF/Pages/MapsData.aspx","Medium","Website","Yes","Individual Export","Not Applicable","shapefile; geodatabase","yes","pdf; html","Yes","Descriptive; Administrative","Some","Weekly or Higher","Current Only","hub",5
"p44","Drinking Water Data Online","Environmental Public Health","n20","OHA","OHA: Drinking Water Data Online","Health Authority",7,"https://yourwater.oregon.gov/","Medium","Catalog","Yes","Copy and Paste; Batch Export","Not Applicable","html; excel","yes","in data","No","Descriptive; Administrative; Structural","No","Monthly or Higher","Limited Record","hub",5
"p45","Community Water","Environmental Public Health","n20","OHA","OHA: Community Water","Health Authority",7,"https://www.oregon.gov/oha/PH/HEALTHYENVIRONMENTS/TRACKINGASSESSMENT/ENVIRONMENTALPUBLICHEALTHTRACKING/Pages/EPHT-Indicator-Community-Water.aspx","Medium","Website","Yes","Individual Export","Not Applicable","excel","yes","html","No","Administrative","No","Unknown","Period of Record","hub",5
"p46","Investments","Oregon Watershed Enhancement Board","n23","OWEB","OWEB: Investments","Oregon Watershed Enhancement Board",9,"https://digital.osl.state.or.us/islandora/object/osl:661369","Medium","Map; Catalog","Yes","None","Not Applicable","html; pdf","Yes","html","No","Descriptive","Yes","Unknown","Current Only","hub",5
"p47","Oregon Watershed Restoration Inventory","Oregon Watershed Enhancement Board","n23","OWEB","OWEB: Oregon Watershed Restoration Inventory","Oregon Watershed Enhancement Board",9,"https://www.oregon.gov/oweb/data-reporting/Pages/owri.aspx","High","Website","Yes","Link to Source; Full Export","Direct","geodatabase; shapefile; excel; access","Yes","html","Yes","Administrative","No","Yearly or Higher","Period of Record","hub",5
"p48","Oregon Explorer","Oregon Watershed Enhancement Board","n23","OWEB","OWEB: Oregon Explorer","Oregon Watershed Enhancement Board",9,"https://tools.oregonexplorer.info/OE_HtmlViewer/Index.html?viewer=restoration_copy","Medium","Map; Catalog","Yes","None","Not Applicable","zip; shapefile; geodatabase","Yes","xml","No","Descriptive; Administrative","Yes","Varies","Period of Record","hub",5
"p49","Historical Climate Data","Oregon Climate Change Research Institute","n25","OSU","OSU: Historical Climate Data","Oregon State University",10,"http://ocs.oregonstate.edu/","Low","Website","Yes","Link to Source","Indirect","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Daily or Higher","Period of Record","hub",5
"p50","Corvallis Data","Oregon Climate Change Research Institute","n25","OSU","OSU: Corvallis Data","Oregon State University",10,"https://agsci.oregonstate.edu/hyslop-weather-station","Medium","Website","Yes","Copy and Paste","Not Applicable","html","yes","html","No","Descriptive","No","Daily or Higher","Limited Record","hub",5
"p51","Interactive Maps and Geospatial Data","Department of Geology and Mineral Industries","n26","DOGAMI","DOGAMI: Interactive Maps and Geospatial Data","Department of Geology and Mineral Industries",11,"https://www.oregongeology.org/gis/index.htm","Medium","Website","Yes","Full Export","Not Applicable","zip; shapefile; tiff; geodatabase","yes","html","No","Administrative","No","Varies","Current Only","hub",5
