"from","to"
"n01","n02"
"n01","n05"
"n01","n11"
"n01","n17"
"n01","n20"
"n01","n21"
"n01","n23"
"n02","n03"
"n02","n04"
"n05","n06"
"n06","n07"
"n06","n08"
"n06","n09"
"n06","n10"
"n11","n12"
"n11","n13"
"n11","n14"
"n11","n15"
"n11","n16"
"n17","n18"
"n17","n19"
"n21","n22"
"n23","n24"
"n24","n25"
