"platformID","platform","entity","entityID","webLabel","heatmapLabel","tier1and2entity","tier1and2entityID","website","easeDiscover","methodDiscover","easeAccess","methodAccess","LinktoSource","fileFormat","metadata","metadataFormat","dataDefinitions","metaAttributes","metadataStandards","timeliness","lengthAvailable","group","count"
"p14","NRCS Snowdata and Reporting","Snow Survey and Water Supply Forecasting Program","n16","SNOW","SNOW: NRCS Snowdata and Reporting","State Engineer's Office","4","http://snow.wyo.gov/snow-data/nrcs-national-water-and-climate-center","Medium","Website","Yes","Link to Source","Indirect","unknown","unknown","unknown","unknown","Unknown","Unknown","Daily or Higher","Period of Record","hub",5
"p15","SEO Snowpack Report by Drainage","Snow Survey and Water Supply Forecasting Program","n16","SNOW","SNOW: SEO Snowpack Report by Drainage","State Engineer's Office","4","http://snow.wyo.gov/snow-data/seo-snowpack-reports-by-drainage","Medium","Website","Yes","Individual Export","Not Applicable","pdf","no","no","No","No","No","Yearly or Higher","Limited Record","hub",5
"p16","NOAA National Snow Analyses","Snow Survey and Water Supply Forecasting Program","n16","SNOW","SNOW: NOAA National Snow Analyses","State Engineer's Office","4","http://snow.wyo.gov/snow-data/noaa-national-snow-analyses","Medium","Website","Yes","Link to Source","Indirect","unknown","unknown","unknown","unknown","Unknown","Unknown","Daily or Higher","Unknown","hub",5
"p17","Realtime Stream Flow","State Engineer's Office","n11","SEOFLOW","SEOFLOW: Realtime Stream Flow","State Engineer's Office","4","http://seoflow.wyo.gov/","High","Map; Catalog","Yes","Batch Export; Full Export","Not Applicable","csv","Yes","html","No","Descriptive; Administrative","No","Daily or Higher","Period of Record","hub",5
"p18","Products and Data","State Climate Office","n16","WRDS","WRDS: Products and Data","University of Wyoming","n24","http://www.wrds.uwyo.edu/products_and_data.html","High","Website; Map; Catalog","Yes","Copy and Paste; Individual Export","Not Applicable","html; csv; jpg","some","html; xml","No","Administrative; Descriptive","Yes","Daily or Higher","Period of Record","hub",5
"p20","Order of the State Engineer - Laramie County Control Area","Groundwater Division","n12","SEO","SEO: Order of the State Engineer - Laramie County Control Area","State Engineer's Office","4","http://seo.wyo.gov/ground-water/state-engineer-s-orders","Low","Unknown","Yes","Individual Export","Not Applicable","pdf","yes","in data","No","Descriptive; Structural","No","Irregular","Current only","hub",5
"p21","Groundwater Hydrographs","Groundwater Division","n12","SEO","SEO: Groundwater Hydrographs","State Engineer's Office","4","http://seo.wyo.gov/documents-data/groundwater-hydrographs","Medium","Website","Yes","Individual Export","Not Applicable","pdf","no","no","No","No","No","Yearly or Higher","Period of Record","hub",5
"p22","Interference Investigations","Groundwater Division","n12","SEO","SEO: Interference Investigations","State Engineer's Office","4","http://seo.wyo.gov/ground-water/interference-investigations","Medium","Website","Yes","Individual Export","Not Applicable","pdf","yes","in data","No","Descriptive","No","Irregular","Period of Record","hub",5
"p23","Dam and Reservoir Planning","Planning Program","n18","WWDO","WWDO: Dam and Reservoir Planning","Wyoming Water Development Office","5","http://wwdc.state.wy.us/dam_reservoir/dam_reservoir.html","Medium","Website","Yes","Copy and Paste; Individual Export","Not Applicable","html; pdf","no","no","No","No","No","Irregular","Current only","hub",5
"p24","Instream Flow Filings","Planning Program","n18","WWDO","WWDO: Instream Flow Filings","Wyoming Water Development Office","5","http://wwdc.state.wy.us/instream_flows/instream_flows.html","Medium","Catalog; Map","Yes","Copy and Paste; Individual Export","Not Applicable","html; pdf","yes","no","No","Administrative; Structural","No","Varies","Period of Record","hub",5
"p25","Wyoming Water and Climate Web Atlas","Planning Program","n18","WWDO","WWDO: Wyoming Water and Climate Web Atlas","Wyoming Water Development Office","5","http://www.wrds.uwyo.edu/Map/index.html?Type=ISF#","Low","Map","Yes","Individual Export; Link to Source","Direct","html; csv; jpg","some","in data","No","Administrative; Structural","Yes","Varies","Current only","hub",5
"p27","Probable Maximum Precipitation","Planning Program","n18","WWDO","WWDO: Probable Maximum Precipitation","Wyoming Water Development Office","5","http://wwdc.state.wy.us/PMP/PMP.html","Low","Website","Yes","Individual Export; Full Export","Not Applicable","pdf; shapefile; png","some","in data","No","Descriptive; Administrative","No","Unknown","Current only","hub",5
"p28","Wyoming State Water Plans","Planning Program","n18","WWDO","WWDO: Wyoming State Water Plans","Wyoming Water Development Office","5","http://waterplan.state.wy.us/","Low","Catalog; Website","Yes","Copy and Paste; Individual Export; Link to Source","Direct","html; pdf","yes","pdf","No","Administrative; Descriptive","No","Irregular","Current Only","hub",5
"p31","Wyoming Water and Climate Hub","Wyoming Water Development Office","n17","WWDO","WWDO: Wyoming Water and Climate Hub","Wyoming Water Development Office","5","http://water.geospatialhub.org/","Low","Catalog","Yes","Individual Export; FTP","Not Applicable","excel; kml; shapefile","some","html","Yes","Administrative; Descriptive","Yes","Varies","Varies","hub",5
"p32","Irrigation and Public Water System Surveys","Wyoming Water Development Office","n17","WWDO","WWDO: Irrigation and Public Water System Surveys","Wyoming Water Development Office","5","http://wwdc.state.wy.us/surveys/surveys.html","Medium","Website","Yes","Individual Export; Copy and Paste","Not Applicable","pdf; html","yes","in data","Yes","Administrative; Descriptive; Structural","Yes","Varies","Period of Record","hub",5
"p33","Legislative Reports","Wyoming Water Development Office","n17","WWDO","WWDO: Legislative Reports","Wyoming Water Development Office","5","http://wwdc.state.wy.us/legreport/legreports.html","Medium","Website","Yes","Individual Export","Not Applicable","pdf","no","no","Yes","No","No","Yearly or Higher","Limited Record","hub",5
"p35","Water Resources Data System Library","Water Resources Data System & Wyoming State Climate Office","n16","WRDS","WRDS: Water Resources Data System Library","University of Wyoming","8","http://library.wrds.uwyo.edu/","Medium","Website","Yes","Individual Export","Not Applicable","pdf","some","in data","Some","Administrative; Descriptive","Some","Varies","Varies","hub",5
"p36","WOGCC Data","Wyoming Oil and Gas Conservation Commission","n20","WOGCC","WOGCC: WOGCC Data","Wyoming Oil and Gas Conservation Commission","6","http://pipeline.wyo.gov/legacywogcce.cfm","High","Website; Catalog","Yes","Copy and Paste","Not Applicable","html","no","No","Yes","No","No","Varies","Varies","hub",5
"p37","Groundwater Atlas of Wyoming","Wyoming State Geological Survey","n21","WSGS","WSGS: Groundwater Atlas of Wyoming","Wyoming State Geological Survey","7","https://wsgs.maps.arcgis.com/apps/webappviewer/index.html?id=09ebeedba94048a0b1ec4dcfc71eb9b5","Medium","Map","Yes","Batch Export","Not Applicable","csv","yes","html","No","Descriptive; Administrative","No","Unknown","Unknown","hub",5
"p38","Wyoming State Geological Survey Publications Sales And Free Downloads","Wyoming State Geological Survey","n21","WSGS","WSGS: Wyoming State Geological Survey Publications Sales And Free Downloads","Wyoming State Geological Survey","7","http://sales.wsgs.wyo.gov/water/","High","Website","Yes","Individual Export","Not Applicable","pdf","no","No","No","No","No","Irregular","Period of Record","hub",5
"p39","Wyoming Geospatial Hub","Wyoming","n01","GeoHub","GeoHub: Wyoming Geospatial Hub","Wyoming","1","https://www.geospatialhub.org/","Low","Catalog","Yes","Full Export; Web Services","Not Applicable","shapefile; excel; kml; geojson","yes","html; xml","No","Descriptive; Administrative; Structural","Yes","Daily or Higher","Varies","hub",5
