"entityID","entity","tier1and2entity","tier1and2entityID","entityIDAbove","mission","website","operational","decision","regulatory","research","level"
"n32","Tile Transfer Program","Department of Natural Resources",6,"n23","Manages water right titles.","https://www.waterrights.utah.gov/titleInfo/default.asp","No","No","Yes","No",4
"n33","Division of Oil, Gas and Mining","Department of Natural Resources",6,"n13","Regulate the exploration and development of coal, oil and gas, and other minerals in a manner which
1. encourages responsible reclamation and development;
2. protects correlative rights;
3. prevents waste; and
4. protects human health and safety, the environment, and the interests of the state and its citizens.","https://www.ogm.utah.gov/about.php#mission","No","Yes","Yes","No",3
"n34","Coal Program","Department of Natural Resources",6,"n33","Regulate exploration for, and development of, coal conformance with UCA 40-10 and Surface Mining Control and Reclamation Act of 1977 which supports the existence of a viable coal mining industry to meet the nation's energy needs,
implements standards that safeguard the environment and protect public health and safety, and achieves the successful reclamation of land affected by coal mining activities.","https://www.ogm.utah.gov/coal/about.php#mission","No","Yes","Yes","No",4
"n35","Oil and Gas Program","Department of Natural Resources",6,"n33","Promotes the exploration, development and conservation of oil and gas resources, fosters a fair economic return to the general public for those resources and maintains sound, regulatory oversight to ensure environmentally acceptable activities","https://oilgas.ogm.utah.gov/oilgasweb/index.xhtml","No","Yes","Yes","No",4
"n36","Geological Survey","Department of Natural Resources",6,"n13","Povides timely scientific information about Utah’s geologic environment, resources, and hazards.","https://geology.utah.gov/","No","Yes","No","Yes",3
"n37","Forestry, Fire & State Lands","Department of Natural Resources",6,"n13","Responsible for forest health, responding to wildland fires and managing sovereign lands in Utah.","https://ffsl.utah.gov/","No","Yes","No","No",3
"n38","Department of Public Safety","Department of Public Safety",7,"n01","Plays a vital role within the department to provide services to all divisions within the department","https://publicsafety.utah.gov/","No","Yes","No","Yes",2
"n39","Emergency Management Division","Department of Public Safety",7,"n38","Unite the emergency management community and to coordinate the efforts necessary to mitigate, prepare for, respond to and recover from emergencies, disasters and catastrophic events.","https://dem.utah.gov/","No","Yes","No","Yes",3
"n40","Flood Mitigation Assistance Program","Department of Public Safety",7,"n39","Provides funding to assist States and communities in implementing measures to reduce or eliminate the long-term risk of flood damage to buildings, manufactured homes, and other structures insurable under the National Flood Insurance Program.","https://dem.utah.gov/grants/non-disaster-grants/fma/","No","Yes","No","No",4
"n41","State Hazard Mitigation Program","Department of Public Safety",7,"n39","A safe, resilient Utah capable of recovering from a natural disaster through mitigation projects designed to prevent loss of life, protect property, and reduce post-disaster expenses","https://hazards.utah.gov/","No","Yes","No","Yes",4
"n42","Office of Energy Development","Office of Energy Development",8,"n01","Committed to advancing Utah’s energy & minerals economies for the provision of affordable, reliable, and sustainable outcomes that provide significant and lasting value to the state.","https://energy.utah.gov/","No","Yes","No","No",2
"n43","Technology Coordination Office - Automated Geographic Reference Center","Technology Coordination Office - Automated Geographic Reference Center",9,"n01","Encourage and facilitate the effective use of geospatial information and technology for Utah.","https://gis.utah.gov/","No","Yes","No","No",2
"n44","Utah State University","Utah State University",10,"n01","To be one of the nation’s premier student-centered land-grant and space-grant universities by fostering the principle that academics come first, by cultivating diversity of thought and culture, and by serving the public through learning, discovery and engagement.","http://www.usu.edu/","No","Yes","No","Yes",2
"n45","Utah Climate Center","Utah State University",10,"n44","Strives to provide quality climate data.","https://climate.usu.edu/index.php","No","Yes","No","Yes",3
