platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
p12,Agrimet,n28,Bureau of Reclamation,DOI-BoR,DOI-BoR: Agrimet,Department of Interior,7,https://www.usbr.gov/pn/agrimet/,Low,Website,Yes,Individual Export,Not Applicable,txt; excel; json,Yes,html,Yes,Administrative; Descriptive,No,Daily or Higher,Period of Record,hub,5
p13,Reclamation Water Information System,n28,Bureau of Reclamation,DOI-BoR,DOI-BoR: Reclamation Water Information System,Department of Interior,7,https://water.usbr.gov/,High,Map; Catalog,Yes,Web Services; Individual Export; Full Export,Not Applicable,json; csv; WML2; zip,Yes,in data,Yes,Administrative; Descriptive,No,Daily or Higher,Limited Record,hub,5
p14,National Wetlands Inventory,n29,Fish and Wildlife Service,DOI-FWS,DOI-FWS: National Wetlands Inventory,Department of Interior,7,https://www.fws.gov/wetlands/Data/Mapper.html,High,Map,Yes,Web Services; Individual Export,Not Applicable,shapefile,Yes,xml,Yes,Administrative; Descriptive; Structural,Yes,Irregular,Current Only,hub,5
p15,GroundwaterWatch,n30,Geological Survey,DOI-GS,DOI-GS: GroundwaterWatch,Department of Interior,7,https://groundwaterwatch.usgs.gov/,Medium,Map,Yes,Individual Export; Link to Source,Not Applicable,shapefile; txt,Yes,txt,Yes,Administrative; Descriptive,No,Daily or Higher,Period of Record,hub,5
p16,National Water Census Data Portal,n30,Geological Survey,DOI-GS,DOI-GS: National Water Census Data Portal,Department of Interior,7,https://cida.usgs.gov/nwc/,Medium,Map,Yes,Individual Export,Not Applicable,csv; pdf; shapefile,Yes,txt,No,Descriptive; Structural,No,Daily or Higher,Period of Record,hub,5
p17,National Water Information System,n30,Geological Survey,DOI-GS,DOI-GS: National Water Information System,Department of Interior,7,https://waterdata.usgs.gov/nwis,High,Map; Catalog,Yes,Web Services; Individual Export,Not Applicable,csv; json,Yes,in data,Yes,Administrative; Descriptive,No,Daily or Higher,Period of Record,hub,5
p18,StreamStats,n30,Geological Survey,DOI-GS,DOI-GS: StreamStats,Department of Interior,7,https://streamstats.usgs.gov/ss/,Medium,Map,Yes,Individual Export; Web Services; Batch Export,Not Applicable,shapefile; csv; json,Yes,pdf,Yes,Administrative; Descriptive,No,Daily or Higher,Current Only,hub,5
p19,U.S. Water Monitor,n30,Geological Survey,DOI-GS,DOI-GS: U.S. Water Monitor,Department of Interior,7,https://watermonitor.gov/,Low,Website,Yes,Individual Export,Not Applicable,png; csv; html,No,No,Some,No,No,Daily or Higher,Limited Record,hub,5
p20,WaterAlert,n30,Geological Survey,DOI-GS,DOI-GS: WaterAlert,Department of Interior,7,https://maps.waterdata.usgs.gov/mapper/wateralert/,High,Map,Yes,Link to Source,Direct,Not Applicable,No,No,No,No,No,Daily or Higher,Period of Record,hub,5
p21,WaterQualityWatch,n30,Geological Survey,DOI-GS,DOI-GS: WaterQualityWatch,Department of Interior,7,https://waterwatch.usgs.gov/wqwatch/,Medium,Map,Yes,Link to Source,Direct,Not Applicable,No,No,Yes,No,No,Daily or Higher,Current Only,hub,5
p22,WaterWatch,n30,Geological Survey,DOI-GS,DOI-GS: WaterWatch,Department of Interior,7,https://waterwatch.usgs.gov/,Medium,Map,Yes,Web Services; Copy and Paste,Not Applicable,shapefile; json; csv; xml; txt; html,No,No,Some,No,No,Daily or Higher,Current Only,hub,5
p23,NationalMap,n30,Geological Survey,DOI-GS,DOI-GS: NationalMap,Department of Interior,7,https://nationalmap.gov/,High,Map; Catalog,Yes,FTP; Individual Export; Batch Export; Web Services,Not Applicable,raster; shapefile,Yes,xml,Yes,Administrative; Descriptive; Structural,No,Irregular,Current Only,hub,5
p24,ATTAINS,n36,Environmental Protection Agency,EPA,EPA: ATTAINS,Environmental Protection Agency,10,https://www.epa.gov/waterdata/attains,Low,Website,Yes,Individual Export; Batch Export,Not Applicable,shapefile; csv,Yes,html,No,Descriptive; Structural,Yes,Irregular,Period of Record,hub,5
p25,ECHO,n36,Environmental Protection Agency,EPA,EPA: ECHO,Environmental Protection Agency,10,https://echo.epa.gov/,Medium,Map; Catalog,Yes,Individual Export; Batch Export; Web Services,Not Applicable,shapefile; excel; csv,Yes,html,Yes,Administrative; Descriptive; Structural,No,Irregular,Period of Record,hub,5
p26,EnviroAtlas,n36,Environmental Protection Agency,EPA,EPA: EnviroAtlas,Environmental Protection Agency,10,https://www.epa.gov/enviroatlas,Medium,Map; Catalog,Yes,Web Services; FTP; Batch Export,Not Applicable,shapefile; csv; zip,Yes,xml,Yes,Administrative; Descriptive; Structural,Yes,Irregular,Current Only,hub,5
p27,National Contaminant Occurrence Database,n36,Environmental Protection Agency,EPA,EPA: National Contaminant Occurrence Database,Environmental Protection Agency,10,https://www.epa.gov/dwstandardsregulations/national-contaminant-occurrence-database-ncod,Low,Website,Yes,Individual Export,Not Applicable,zip; txt,Yes,pdf,Yes,Administrative,No,Irregular,Limited Record,hub,5
p28,Water Quality Portal,nMix,"EPA, USGS, NWQMC","EPA, USGS, NWQMC",Joint: Water Quality Portal,"EPA, USGS, NWQMC",NA,https://www.waterqualitydata.us/,High,Map; Catalog,Yes,Web Services; Batch Export,Not Applicable,csv; shapefile; tsv; excel; kml,Yes,html,Yes,Administrative; Descriptive; Structural,No,Daily or Higher,Period of Record,hub,5
p29,GeoPlatform.Gov,n37,Federal Geospatial Data Committee,FGDC,FGDC: GeoPlatform.Gov,Federal Geospatial Data Committee,10,https://www.geoplatform.gov/,Medium,Catalog,Yes,Link to Source,Indirect,Not Applicable,Yes,html,No,Descriptive,No,Irregular,Current Only,hub,5
p30,Data.Gov,n38,General Services Administration,GSA,GSA: Data.Gov,General Services Administration,10,https://www.data.gov/,Medium,Catalog,Yes,Web Services; Link to Source,Not Applicable,Not Applicable,Yes,json,No,Descriptive,No,Irregular,Varies,hub,5
p31,HealthData.Gov,n33,Department of Health and Human Services,HHS,HHS: HealthData.Gov,Department of Health and Human Services,9,https://www.healthdata.gov/,Medium,Catalog,Yes,Individual Export; Web Services,Not Applicable,csv; json; xml; rdf,Yes,json,No,Descriptive,No,Irregular,Period of Record,hub,5
p32,Data.CDC.Gov,n33,Department of Health and Human Services,HHS-CDC,HHS-CDC: Data.CDC.Gov,Department of Health and Human Services,9,https://data.cdc.gov/,Medium,Catalog,Yes,Individual Export; Web Services; Link to Source,Not Applicable,csv; rdf; xml,Yes,pdf,Yes,Administrative; Descriptive; Structural,No,Irregular,Limited Record,hub,5
